Kimlik_No,Ad,Soyad,Cinsiyet,Yaş,Email,Telefon,Şehir,İlçe,Rol_Kategorisi,Rol,Kıdem,Ünvan,Deneyim_Yıl,Eğitim_Seviyesi,Eğitim_Alanı,Mezuniyet_Yılı,Doğum_Yılı,İşe_Başlama_Tarihi,Maaş_TL,Şirket,Şirket_Büyüklüğü,Sektör,Çalışma_Şekli,Uzaktan_Çalışma_Oranı,Kullandığı_Teknolojiler,Ana_Programlama_Dili,İngilizce_Seviyesi,Diğer_Diller,Sertifikalar,LinkedIn_Profili,GitHub_Profili,Toplam_Proje_Sayısı,Teknik_Beceri_Puanı,Soft_Skill_Puanı,Yıllık_İzin_Gün,Son_Terfi_Tarihi
1,Tezol,Demir,Erkek,23,tezol.demir@outlook.com,+90(433)2181960,İstanbul,Ataşehir,DevOps ve Altyapı,Site Reliability Engineer (SRE),Stajyer,Stajyer Site Reliability Engineer (SRE),0.3,Lise,Bilgisayar Programcılığı,2020,2002,2025-09-20,10895,Bizim Yazılım,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Assembly, Haskell, Helm, GitLab CI/CD, Oracle, Redis, Couchbase, Google Cloud, Heroku",Assembly,İleri,Türkçe (Anadil),,linkedin.com/in/tezol-demir-570,,2,38,57,14,
2,Akdora,Çorlu,Erkek,45,acorlu@gmail.com,03890838637,İstanbul,Beşiktaş,Yazılım Geliştirme,Mobil Uygulama Geliştirici,Müdür,Müdür Mobil Uygulama Geliştirici,14.3,Lise,Bilgisayar Programcılığı,1998,1980,2012-07-09,79264,Armut.com,Küçük (11-50),Finans/Bankacılık,Tam Zamanlı,0,"Elixir, Clojure, JavaScript, Lua, Vue.js, Babel, WebAssembly, Svelte, Gin, Symfony, FaunaDB, Cassandra, Couchbase, Swift, SwiftUI",Elixir,İleri Düzey,Türkçe (Anadil),,,github.com/akdoracorlu92,26,95,91,24,2020-05-18
3,Soyselçuk,Aslan,Erkek,31,soyselcuk_aslan@hotmail.com,+90(265)4235116,İstanbul,Sarıyer,Destek ve Operasyon,Sistem Operatörleri,Sr.,Sr. Sistem Operatörleri,7.7,Lisans,Bilgisayar Mühendisliği,2016,1994,2020-09-16,34610,İş Bankası Teknoloji,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,0,"JavaScript, Scala, Lua, MATLAB, DynamoDB, FaunaDB, MySQL, SQL Server, Istio, CircleCI, GitLab CI/CD, Git",Lua,İleri,Türkçe (Anadil),"SUSE Certified Administrator, Fortinet Network Security Associate, Juniper Networks Certified Internet Associate (JNCIA), Cisco Certified Internetwork Expert (CCIE)",linkedin.com/in/soyselcuk-aslan-265,,10,91,61,21,2024-07-26
4,Canseven,Ergül,Kadın,41,cansevenergul@gmail.com,(940)781 6184,İstanbul,Levent,Veri,Veri Mühendisi,Müdür Yardımcısı,Müdür Yardımcısı Veri Mühendisi,12.4,Lise,Bilgisayar Teknolojileri,2002,1984,2025-03-05,69594,BAYKAR,Büyük (201-1000),Kamu,Hibrit,40,"Swift, Scala, Elixir, Clojure, InfluxDB, Firestore, Supabase, NLTK, Scikit-learn",Elixir,Orta,Türkçe (Anadil),"Microsoft Certified: Data Engineer, Certified Data Management Professional (CDMP), Microsoft Certified: Data Analyst Associate",linkedin.com/in/canseven-ergul-172,github.com/ergulc,35,97,90,23,2020-04-18
5,Nevsale,Durdu,Kadın,58,durdu.nevsale@yahoo.com,01034131647,İstanbul,Üsküdar,QA ve Test,QA Mühendisi,Jr.,Jr. QA Mühendisi,0.6,Lisans,Elektrik-Elektronik Mühendisliği,1989,1967,2025-12-02,20817,Trendyol Tech,Kurumsal (1000+),Telekom,Yarı Zamanlı,0,"Go, Groovy, Playwright, Appium, Jest, Puppet, Grafana, Jenkins",Groovy,İleri Düzey,"Türkçe (Anadil), Almanca (Orta)",Adobe XD Certification,linkedin.com/in/nevsale-durdu-597,,8,50,41,14,2025-02-21
6,Nezize,Aksu,Kadın,38,aksu.nezize@yahoo.com,(534)192 8327,İstanbul,Sarıyer,Yönetim ve Liderlik,Proje Yöneticisi,Jr.,Jr. Proje Yöneticisi,0.9,Doktora,Endüstri Mühendisliği,2015,1987,2025-12-11,25748,BİTES,Kurumsal (1000+),Savunma Sanayi,Tam Zamanlı,20,"C++, JavaScript, MongoDB, Cassandra, ElasticSearch, SQL Server, Grafana, Vault, Kubernetes, Jenkins",JavaScript,İleri,Türkçe (Anadil),,linkedin.com/in/nezize-aksu-785,,3,44,68,14,2024-09-24
7,Kasim,Aslan,Erkek,42,kasim.aslan@gmail.com,+90(350)305-6413x9537,İstanbul,Levent,İş ve Analiz,İş Analisti,Stajyer,Stajyer İş Analisti,0.3,Lisans,Bilgisayar Mühendisliği,2005,1983,2025-02-08,9767,Netaş,Büyük (201-1000),Danışmanlık,Hibrit,20,"F#, Groovy, Swift, Elixir, Oracle, DynamoDB, Git, Istio",Groovy,İleri,Türkçe (Anadil),,linkedin.com/in/kasim-aslan-370,,2,37,42,14,
8,Perinur,Akgündüz,Kadın,24,perinur.akgunduz@gmail.com,+90(242)388-4969x653,İstanbul,Şişli,Yapay Zeka ve Makine Öğrenmesi,Yapay Zeka Araştırmacısı,Jr.,Jr. Yapay Zeka Araştırmacısı,1.3,Lisans,Bilgisayar Mühendisliği,2023,2001,2024-12-05,28621,Paraşüt,Startup (1-10),Oyun,Tam Zamanlı,0,"Haskell, Java, Rust, CUDA, NLTK, SQL Server, MariaDB, Neo4j, Oracle",Haskell,İleri Düzey,"Türkçe (Anadil), Arapça (Başlangıç), Japonca (Orta)",,,,8,47,49,15,2025-01-22
9,Berkal,Zorlu,Erkek,24,zorlu.berkal@yahoo.com,+90(101)226-9166x978,İstanbul,Üsküdar,Tasarım ve Kullanıcı Deneyimi,Ürün Tasarımcısı,Stajyer,Stajyer Ürün Tasarımcısı,0.1,Lisans,Yazılım Mühendisliği,2023,2001,2025-02-25,9566,C2TECH,Kurumsal (1000+),Kamu,Uzaktan,100,"Webflow, Zeplin, Sass/SCSS, jQuery",,Orta,Türkçe (Anadil),,linkedin.com/in/berkal-zorlu-546,,3,37,52,14,
10,Ergener,Durmuş,Erkek,24,ergener.durmus@outlook.com,+90(184)5146270,İstanbul,Sarıyer,Destek ve Operasyon,Yardım Masası Uzmanı,Stajyer,Stajyer Yardım Masası Uzmanı,0.2,Önlisans,İstatistik,2021,2001,2025-10-11,10347,Migros Teknoloji,Kurumsal (1000+),Telekom,Tam Zamanlı,0,"COBOL, Swift, Groovy, Redis, Neo4j, ArgoCD, Ansible, Vault, GitHub Actions",Swift,İleri,Türkçe (Anadil),,linkedin.com/in/ergener-durmus-721,,2,43,54,14,
